Order,Class,Family,Genus,Species,SpecCode,UsedforAquaculture
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,baerii,4683,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,baerii,4683,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,gueldenstaedtii,4712,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,gueldenstaedtii,4712,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,mikadoi,9762,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,nudiventris,2505,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,nudiventris,2505,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,stellatus,2065,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,stellatus,2065,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,sturio,2066,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,transmontanus,2594,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser,transmontanus,2594,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Huso,huso,2067,commercial
Acipenseriformes,Actinopterygii,Acipenseridae,Huso,huso,2067,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,anguilla,35,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,anguilla,35,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,australis australis,297,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,bengalensis bengalensis,1272,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,japonica,295,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,marmorata,1275,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,mossambica,1276,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,reinhardtii,7512,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,rostrata,296,commercial
Anguilliformes,Actinopterygii,Muraenesocidae,Muraenesox,cinereus,298,commercial
Atheriniformes,Actinopterygii,Atherinopsidae,Odontesthes,bonariensis,4678,commercial
Beloniformes,Actinopterygii,Hemiramphidae,Rhynchorhamphus,malabaricus,25000,commercial
Clupeiformes,Actinopterygii,Engraulidae,Engraulis,japonicus,1663,commercial
Elopiformes,Actinopterygii,Megalopidae,Megalops,atlanticus,1079,commercial
Elopiformes,Actinopterygii,Megalopidae,Megalops,cyprinoides,227,commercial
Gadiformes,Actinopterygii,Gadidae,Gadus,morhua,69,commercial
Gadiformes,Actinopterygii,Gadidae,Gadus,morhua,69,commercial
Gadiformes,Actinopterygii,Gadidae,Gadus,morhua,69,commercial
Gonorynchiformes,Actinopterygii,Chanidae,Chanos,chanos,80,commercial
Mugiliformes,Actinopterygii,Mugilidae,Chelon,planiceps,4820,commercial
Mugiliformes,Actinopterygii,Mugilidae,Crenimugil,crenilabis,5653,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,aurata,1735,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,macrolepis,4816,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,parsia,4668,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,ramada,4583,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,saliens,1736,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,subviridis,4819,commercial
Mugiliformes,Actinopterygii,Mugilidae,Liza,vaigiensis,5656,commercial
Mugiliformes,Actinopterygii,Mugilidae,Mugil,cephalus,785,commercial
Mugiliformes,Actinopterygii,Mugilidae,Mugil,curema,1086,commercial
Mugiliformes,Actinopterygii,Mugilidae,Mugil,liza,1090,commercial
Mugiliformes,Actinopterygii,Mugilidae,Mugil,soiuy,4791,commercial
Mugiliformes,Actinopterygii,Mugilidae,Myxus,petardi,47141,commercial
Osmeriformes,Actinopterygii,Plecoglossidae,Plecoglossus,altivelis altivelis,251,commercial
Perciformes,Actinopterygii,Carangidae,Carangoides,equula,1920,commercial
Perciformes,Actinopterygii,Carangidae,Caranx,ignobilis,1895,commercial
Perciformes,Actinopterygii,Carangidae,Caranx,lugubris,1936,commercial
Perciformes,Actinopterygii,Carangidae,Caranx,melampygus,1906,commercial
Perciformes,Actinopterygii,Carangidae,Caranx,papuensis,6360,commercial
Perciformes,Actinopterygii,Carangidae,Gnathanodon,speciosus,4464,commercial
Perciformes,Actinopterygii,Carangidae,Pseudocaranx,dentex,1002,commercial
Perciformes,Actinopterygii,Carangidae,Seriola,dumerili,1005,commercial
Perciformes,Actinopterygii,Carangidae,Seriola,quinqueradiata,381,commercial
Perciformes,Actinopterygii,Carangidae,Trachinotus,blochii,1963,commercial
Perciformes,Actinopterygii,Carangidae,Trachinotus,carolinus,380,commercial
Perciformes,Actinopterygii,Carangidae,Trachinotus,falcatus,1010,commercial
Perciformes,Actinopterygii,Carangidae,Trachinotus,goodei,1011,commercial
Perciformes,Actinopterygii,Carangidae,Trachinotus,ovatus,1773,commercial
Perciformes,Actinopterygii,Carangidae,Trachurus,japonicus,366,commercial
Perciformes,Actinopterygii,Centropomidae,Centropomus,undecimalis,345,commercial
Perciformes,Actinopterygii,Cichlidae,Tilapia,guineensis,2488,commercial
Perciformes,Actinopterygii,Coryphaenidae,Coryphaena,hippurus,6,commercial
Perciformes,Actinopterygii,Dichistiidae,Dichistius,multifasciatus,5511,commercial
Perciformes,Actinopterygii,Eleotridae,Dormitator,latifrons,3826,commercial
Perciformes,Actinopterygii,Ephippidae,Chaetodipterus,faber,1024,commercial
Perciformes,Actinopterygii,Ephippidae,Platax,orbicularis,5737,commercial
Perciformes,Actinopterygii,Gobiidae,Glossogobius,giuris,4833,commercial
Perciformes,Actinopterygii,Haemulidae,Plectorhinchus,cinctus,13033,commercial
Perciformes,Actinopterygii,Haemulidae,Plectorhinchus,diagrammus,6628,commercial
Perciformes,Actinopterygii,Haemulidae,Pomadasys,kaakan,6006,commercial
Perciformes,Actinopterygii,Hapalogenyidae,Hapalogenys,nitens,13036,commercial
Perciformes,Actinopterygii,Labridae,Cheilinus,undulatus,5604,commercial
Perciformes,Actinopterygii,Labridae,Choerodon,schoenleinii,6433,commercial
Perciformes,Actinopterygii,Labridae,Parajulis,poecilepterus,5372,commercial
Perciformes,Actinopterygii,Lateolabracidae,Lateolabrax,japonicus,4589,commercial
Perciformes,Actinopterygii,Latidae,Lates,calcarifer,346,commercial
Perciformes,Actinopterygii,Leiognathidae,Leiognathus,equulus,4451,commercial
Perciformes,Actinopterygii,Lethrinidae,Lethrinus,haematopterus,1856,commercial
Perciformes,Actinopterygii,Lethrinidae,Lethrinus,nebulosus,1846,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,argentimaculatus,1407,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,erythropterus,1406,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,johnii,264,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,monostigma,166,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,rivulatus,173,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,russellii,176,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,sebae,178,commercial
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,stellatus,180,commercial
Perciformes,Actinopterygii,Lutjanidae,Ocyurus,chrysurus,188,commercial
Perciformes,Actinopterygii,Moronidae,Dicentrarchus,labrax,63,commercial
Perciformes,Actinopterygii,Moronidae,Morone,saxatilis,353,commercial
Perciformes,Actinopterygii,Oplegnathidae,Oplegnathus,fasciatus,6532,commercial
Perciformes,Actinopterygii,Oplegnathidae,Oplegnathus,punctatus,6538,commercial
Perciformes,Actinopterygii,Polynemidae,Eleutheronema,tetradactylum,340,commercial
Perciformes,Actinopterygii,Polynemidae,Polydactylus,plebeius,7901,commercial
Perciformes,Actinopterygii,Pomatomidae,Pomatomus,saltatrix,364,commercial
Perciformes,Actinopterygii,Rachycentridae,Rachycentron,canadum,3542,commercial
Perciformes,Actinopterygii,Scatophagidae,Scatophagus,argus,4698,commercial
Perciformes,Actinopterygii,Sciaenidae,Argyrosomus,japonicus,11979,commercial
Perciformes,Actinopterygii,Sciaenidae,Larimichthys,crocea,428,commercial
Perciformes,Actinopterygii,Sciaenidae,Protonibea,diacanthus,4571,commercial
Perciformes,Actinopterygii,Sciaenidae,Sciaenops,ocellatus,1191,commercial
Perciformes,Actinopterygii,Scombridae,Scomber,japonicus,117,commercial
Perciformes,Actinopterygii,Scombridae,Scomberomorus,niphonius,131,commercial
Perciformes,Actinopterygii,Scombridae,Thunnus,maccoyii,145,commercial
