"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"2","Perciformes","Lethrinidae","Lethrinus erythropterus","native","Longfin emperor","","minor commercial","minor commercial","Admiralty Islands"
"3","Perciformes","Lethrinidae","Lethrinus ornatus","native","Ornate emperor","","minor commercial","minor commercial","Admiralty Islands"
"4","Perciformes","Lethrinidae","Lethrinus semicinctus","native","Black blotch emperor","","minor commercial","minor commercial","Admiralty Islands"
"210","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","native","Sablefish","Black cod","commercial","highly commercial","Alaska (USA)"
"310","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","native","Arrow-tooth flounder","Arrowtooth flounder","commercial","highly commercial","Alaska (USA)"
"46","Clupeiformes","Clupeidae","Clupea pallasii pallasii","native","Pacific herring","Iqalluarpak","commercial","highly commercial","Alaska (USA)"
"5","Salmoniformes","Salmonidae","Coregonus autumnalis","native","Arctic cisco","Arctic cisco","subsistence fisheries","commercial","Alaska (USA)"
"6","Salmoniformes","Salmonidae","Coregonus clupeaformis","native","Lake whitefish","Kalupiat","commercial","commercial","Alaska (USA)"
"7","Salmoniformes","Salmonidae","Coregonus laurettae","native","Bering cisco","Bering cisco","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"8","Salmoniformes","Salmonidae","Coregonus nasus","native","Broad whitefish","Anaklik","minor commercial","commercial","Alaska (USA)"
"9","Salmoniformes","Salmonidae","Coregonus nelsonii","native","Alaska whitefish","Alaska whitefish","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"10","Salmoniformes","Salmonidae","Coregonus pidschian","native","Humpback whitefish","Humpback whitefish","subsistence fisheries","commercial","Alaska (USA)"
"11","Salmoniformes","Salmonidae","Coregonus sardinella","native","Sardine cisco","Kalushak","subsistence fisheries","commercial","Alaska (USA)"
"12","Esociformes","Umbridae","Dallia pectoralis","native","Alaska blackfish","Alaska blackfish","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"13","Gadiformes","Gadidae","Eleginus gracilis","native","Saffron cod","Saffron cod","subsistence fisheries","highly commercial","Alaska (USA)"
"14","Pleuronectiformes","Pleuronectidae","Eopsetta jordani","native","Petrale sole","Brill","commercial","commercial","Alaska (USA)"
"15","Gadiformes","Gadidae","Gadus macrocephalus","native","Pacific cod","Amutaq","commercial","highly commercial","Alaska (USA)"
"16","Pleuronectiformes","Pleuronectidae","Glyptocephalus zachirus","native","Rex sole","Long-finned sole","commercial","commercial","Alaska (USA)"
"17","Scorpaeniformes","Hexagrammidae","Hexagrammos decagrammus","native","Kelp greenling","Kelp greenling","commercial","minor commercial","Alaska (USA)"
"18","Pleuronectiformes","Pleuronectidae","Hippoglossoides elassodon","native","Flathead sole","Flathead sole","commercial","commercial","Alaska (USA)"
"19","Pleuronectiformes","Pleuronectidae","Hippoglossus stenolepis","native","Pacific halibut","Sagiq","commercial","highly commercial","Alaska (USA)"
"20","Pleuronectiformes","Pleuronectidae","Lepidopsetta bilineata","native","Rock sole","Rock sole","commercial","commercial","Alaska (USA)"
"21","Pleuronectiformes","Pleuronectidae","Limanda aspera","native","Yellowfin sole","Yellowfin sole","commercial","highly commercial","Alaska (USA)"
"22","Pleuronectiformes","Pleuronectidae","Liopsetta glacialis","native","Arctic flounder","Ikkahnalook","subsistence fisheries","minor commercial","Alaska (USA)"
"23","Gadiformes","Lotidae","Lota lota","native","Burbot","Nätarrnaq","minor commercial","commercial","Alaska (USA)"
"24","Gadiformes","Gadidae","Microgadus proximus","native","Pacific tomcod","Taaqatak","subsistence fisheries","minor commercial","Alaska (USA)"
"25","Scorpaeniformes","Cottidae","Myoxocephalus quadricornis","native","Fourhorn sculpin","Fourhorn sculpin","subsistence fisheries","subsistence fisheries","Alaska (USA)"
"26","Salmoniformes","Salmonidae","Oncorhynchus gorbuscha","native","Pink salmon","Amarturpiaq","commercial","highly commercial","Alaska (USA)"
"27","Salmoniformes","Salmonidae","Oncorhynchus keta","native","Chum salmon","Alngartuliq","commercial","highly commercial","Alaska (USA)"
"28","Salmoniformes","Salmonidae","Oncorhynchus kisutch","native","Coho salmon","Caayuaq","commercial","highly commercial","Alaska (USA)"
"29","Salmoniformes","Salmonidae","Oncorhynchus nerka","native","Sockeye salmon","Niklliq","commercial","highly commercial","Alaska (USA)"
"30","Salmoniformes","Salmonidae","Oncorhynchus tshawytscha","native","Chinook salmon","Iqallugpak","commercial","highly commercial","Alaska (USA)"
"31","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","native","Lingcod","Lingcod","commercial","commercial","Alaska (USA)"
"32","Osmeriformes","Osmeridae","Osmerus mordax dentex","native","Arctic rainbow smelt","Rainbow smelt","subsistence fisheries","commercial","Alaska (USA)"
