country,stock1990MT,stock2000MT,stock2005MT,stock2010MT,TperHa2010,change1990-2000MTyr,change2000-2005MTyr,change2005-2010MTyr,change1990-2000THaYr,chage2000-2005THaYr,change2005-2010THaYr
Micronesia (Federated States of),20,20,20,20,318,0,0,0,0,0,0
Palau,10,10,11,11,264,0,0,0,0,0,0
Suriname,3168,3168,3168,3165,214,0,0,-1,0,0,0
French Guiana,1672,1657,1654,1651,204,-2,-1,-1,0,0,0
Guadeloupe,13,13,13,12,195,0,0,0,0,0,0
Brunei Darussalam,81,76,74,72,188,0,0,0,0,0,0
Marshall Islands,2,2,2,2,183,0,0,0,0,0,0
Côte d'Ivoire,1811,1832,1847,1842,177,2,3,-1,0,0,0
Malta,0,0,0,0,173,0,0,0,0,0,0
Martinique,,8,8,8,173,,0,0,,0,0
Malaysia,2822,3558,3362,3212,157,74,-39,-30,3.9,-0.8,-0.8
New Zealand,,,1263,1292,156,,,6,,,0.9
Congo,3487,3461,3448,3438,153,-3,-3,-2,0,0,0
Slovenia,116,141,159,178,142,2,4,4,1.6,2.8,2.8
Sao Tome and Principe,4,4,4,4,141,0,0,0,0,0,0
Jamaica,48,48,48,48,141,0,0,0,0,0,0
Indonesia,16335,15182,14299,13017,138,-115,-177,-256,1.5,-1.3,-1.7
Kenya,525,503,489,476,137,-2,-3,-3,0,0,0
Cameroon,3292,2993,2844,2696,135,-30,-30,-30,0,0,0
Liberia,666,625,605,585,135,-4,-4,-4,0,0,0
Czech Republic,287,322,339,356,134,4,3,3,1.3,1.2,1.1
Nepal,602,520,485,485,133,-8,-7,0,0.8,0,0
Croatia,190,221,237,253,132,3,3,3,1.5,1.4,1.4
French Polynesia,,,,21,132,,,,,,
Madagascar,1778,1691,1663,1626,130,-9,-6,-7,0,0,0
Central African Republic,2936,2898,2879,2861,127,-4,-4,-4,0,0,0
Democratic Republic of the Congo,20433,20036,19838,19639,127,-40,-40,-40,0,0,0
Germany,981,1193,1283,1405,127,21,18,24,1.6,1.6,2.2
Pakistan,330,271,243,213,126,-6,-6,-6,0,0,0
Peru,8831,8713,8654,8560,126,-12,-12,-19,0,0,0
Equatorial Guinea,232,217,210,203,125,-1,-1,-1,0,0,0
Gabon,2710,2710,2710,2710,123,0,0,0,0,0,0
Belize,195,184,178,171,123,-1,-1,-1,0,0,0
Brazil,68119,65304,63679,62607,121,-282,-325,-214,0,0,0
Nigeria,2016,1550,1317,1085,120,-47,-47,-46,0,0,0
Comoros,2,1,1,0,117,0,0,0,0.7,0,-5.5
Switzerland,126,136,139,143,115,1,1,1,0,0,0
Tonga,1,1,1,1,114,0,0,0,0,0,0
Panama,429,381,374,367,113,-5,-1,-1,0,0,0
Nicaragua,506,428,389,349,112,-8,-8,-8,0,0,0
Colombia,7032,6918,6862,6805,112,-11,-11,-11,0,0,0
American Samoa,2,2,2,2,110,0,0,0,0,0,0
Slovakia,163,190,202,211,109,3,3,2,1.4,1.2,0.9
Luxembourg,7,9,9,9,108,0,0,0,2.2,0,0
Guyana,1629,1629,1629,1629,107,0,0,0,0,0,0
Poland,691,807,887,968,104,12,16,16,1.1,1.5,1.5
Argentina,3414,3236,3143,3062,104,-18,-19,-16,0,0,0
Bhutan,296,313,324,336,103,2,2,2,0,0,0
Austria,339,375,399,393,101,4,5,-1,0.8,1.1,0
Northern Mariana Islands,3,3,3,3,100,0,0,0,0,0,0
Egypt,4,6,7,7,99,0,0,0,0,0,0
Burundi,25,19,18,17,96,-1,0,0,1,0,0
Guinea,687,653,636,619,95,-3,-3,-3,0,0,0
Belgium ,50,61,63,64,95,1,0,0,1.7,0.5,0
Romania,600,599,601,618,94,0,0,3,0,0,0
Rwanda,35,18,35,39,91,-2,3,1,-6,7.7,0
Costa Rica,233,217,227,238,91,-2,2,2,0,0,0
Seychelles,4,4,4,4,88,0,0,0,0,0,0
Serbia,122,138,147,240,88,2,2,19,0,0.6,5.8
South Africa,807,807,807,807,87,0,0,0,0,0,0
Philippines,641,655,660,663,87,1,1,1,-0.6,-0.6,-0.6
Trinidad and Tobago,21,20,20,19,85,0,0,0,0,0,0
Chile,1294,1328,1338,1349,83,3,2,2,0,0,0
Solomon Islands,191,186,184,182,82,0,0,0,0,0,0
Latvia,193,234,244,272,81,4,2,5,1.1,0,1.4
Papua New Guinea,2537,2423,2365,2306,80,-11,-11,-12,0,0,0
Sierra Leone,247,232,224,216,79,-2,-2,-2,0,0,0
Cuba,113,180,212,226,79,7,6,3,1.9,0.9,0
Ukraine,499,662,712,761,78,16,10,10,1.6,0.9,0.8
Bolivia (Plurinational State of),4877,4666,4561,4442,78,-21,-21,-24,0,0,0
Ghana,564,465,423,381,77,-10,-8,-8,0,0,0
Georgia,192,203,207,212,77,1,1,1,0,0,0
Guatemala,365,324,303,281,77,-4,-4,-4,0,0,0
France,965,1049,1165,1208,76,8,23,9,0,1.2,0
Netherlands,21,24,26,28,76,0,0,0,0.7,0.7,1.2
Angola,4573,4479,4432,4385,75,-9,-9,-9,0,0,0
Republic of Moldova,22,26,28,29,75,0,0,0,1.1,-1,0
Estonia,,168,167,165,74,,0,0,,0,0
Liechtenstein,0,1,1,1,74,0,0,0,0,0,0
Turkey,686,743,782,822,73,6,8,8,0,0,0
Viet Nam,778,927,960,992,72,15,7,6,0,-1.1,0
New Caledonia,60,60,60,60,72,0,0,0,0,0,0
Belarus,386,482,540,611,71,10,12,14,0.9,1.2,1.3
Lithuania,134,146,151,153,71,1,1,0,0,0,0
Hungary,117,130,136,142,70,1,1,1,0,0,0
Guam,2,2,2,2,69,0,0,0,0,0,0
Réunion,6,6,6,6,68,0,0,0,0,0,0
Lao People's Democratic Republic,1186,1133,1106,1074,68,-5,-5,-6,0,0,0
Denmark,22,26,36,37,68,0,2,0,0,3.1,0
Gambia,29,30,31,32,66,0,0,0,0,0,0
Mauritius,3,3,2,2,65,0,0,0,0,0,0
Honduras,517,407,368,330,64,-11,-8,-8,0,0,0
United States of America,16951,17998,18631,19308,64,105,127,135,0,0,0
Albania,49,49,48,49,63,0,0,0,0,0,0
Grenada,1,1,1,1,63,0,0,0,0,-5.6,2.8
Italy,375,467,512,558,61,9,9,9,0.6,0.5,0
Montenegro,33,33,33,33,61,0,0,0,0,0,0
The former Yugoslav Republic of Macedonia,60,62,60,60,61,0,0,0,0,-0.6,0
United Republic of Tanzania,2505,2262,2139,2019,60,-24,-25,-24,0,0,0
Kyrgyzstan,27,34,37,56,59,1,1,4,0.7,0.7,3.2
Somalia,482,439,415,394,58,-4,-5,-4,0,0,0
Benin,332,291,277,263,58,-4,-3,-3,0,0,0
Cape Verde,3,5,5,5,58,0,0,0,0,0,0
Azerbaijan,54,54,54,54,58,0,0,0,0,0,0
Dominican Republic,114,114,114,114,58,0,0,0,0,0,0
Botswana,680,663,655,646,57,-2,-2,-2,0,0,0
Chad,722,677,655,635,55,-5,-4,-4,0,0,0
Bangladesh,84,82,82,80,55,0,0,0,0,0,0
Bosnia and Herzegovina,96,118,118,118,54,2,0,0,1.1,0,0
Haiti,6,6,6,5,54,0,0,0,0,0,0
Lesotho,2,2,2,2,53,0,0,0,0,0,0
Mongolia ,671,626,605,583,53,-5,-4,-4,0,0,0
Burkina Faso,355,323,308,292,52,-3,-3,-3,0,0,0
Myanmar,2040,1814,1734,1654,52,-23,-16,-16,0,0,0
Bulgaria,127,161,182,202,51,3,4,4,1,0,0
Puerto Rico,14,23,26,28,51,1,0,0,0,0,0
United Arab Emirates,12,15,16,16,50,0,0,0,0,0,0
Zambia,2579,2497,2457,2416,49,-8,-8,-8,0,0,0
Armenia,17,15,14,13,48,0,0,0,0,0,0
Algeria,78,74,72,70,47,0,0,0,0,0,0
Guinea-Bissau,106,101,98,96,47,-1,-1,0,0,0,0
United Kingdom,120,119,128,136,47,0,2,2,0,0,0
Western Sahara,33,33,33,33,46,0,0,0,0,0,0
Cambodia,609,537,495,464,46,-7,-8,-6,0,0,0
Thailand,908,881,877,880,46,-3,-1,1,0,0,0
Sweden,1178,1183,1219,1255,45,0,7,7,0,0,0
Canadaa,14284,14317,14021,13908,45,3,-59,-23,0,0,0
Malawi,173,159,151,144,44,-1,-2,-1,0,0,0
Mozambique,1878,1782,1733,1692,43,-10,-10,-8,0,0,0
Morocco,190,212,224,223,43,2,2,0,0,0,0
Republic of Korea,109,181,224,268,43,7,9,9,1.2,1.4,1.5
Djibouti,0,0,0,0,41,0,0,0,0,0,0
India,2223,2377,2615,2800,41,15,48,37,0,0,0
Kazakhstan,137,137,137,137,41,0,0,0,0,0,0
Senegal,377,357,348,340,40,-2,-2,-2,0,0,0
Russian Federation,32504,32157,32210,32500,40,-35,11,58,0,0,0
Swaziland,23,22,22,22,39,0,0,0,0,0,0
Norway,280,323,360,395,39,4,7,7,0,0,0
Finland,721,802,832,832,38,8,6,0,0,0,0
Uganda,171,140,124,109,36,-3,-3,-3,0,0,0
Sri Lanka,90,74,66,61,33,-2,-2,-1,0,0,0
Mexico,2186,2111,2076,2043,32,-8,-7,-7,0,0,0
Zimbabwe,697,594,543,492,31,-10,-10,-10,0,0,0
Niger,60,41,38,37,31,-2,-1,0,0,0,0
Israel,5,5,5,5,31,0,0,0,-0.7,0,0
Ireland,16,18,20,23,31,0,0,1,-0.5,0,0
Mauritania,13,10,8,7,30,0,0,0,0,0,0
China,4414,5295,5802,6203,30,88,101,80,0,0,0
Democratic People's Republic of Korea,239,207,190,171,30,-3,-3,-4,0,0,0
Portugal,,,102,102,30,,,0,,,0
Namibia,253,232,221,210,29,-2,-2,-2,0,0,0
Libyan Arab Jamahiriya,6,6,6,6,28,0,0,0,0,0,0
Afghanistan,38,38,38,38,28,0,0,0,0,0,0
United States Virgin Islands,1,1,1,1,27,0,0,0,0,0,0
Jordan,2,2,2,2,24,0,0,0,0,0,0
Mali,317,300,291,282,23,-2,-2,-2,0,0,0
Iran (Islamic Republic of),249,249,254,258,23,0,1,1,0,0,0
Spain,289,396,400,422,23,11,1,4,0,0,0
Sudan,1521,1403,1398,1393,20,-12,-1,-1,0,0,0
Greece,67,73,76,79,20,1,1,1,0,0,0
Ethiopia,289,254,236,219,18,-4,-4,-3,0,0,0
Cyprus,3,3,3,3,18,0,0,0,0,0,0
Lebanon,,,2,2,13,,,0,,,0
Tunisia,6,8,8,9,9,0,0,0,0,0,0
Yemen,5,5,5,5,9,0,0,0,0,0,0
Iceland,0,0,0,0,9,0,0,0,0,0,0
Tajikistan,3,3,3,3,7,0,0,0,0,0,0
Saudi Arabia,6,6,6,6,6,0,0,0,0,0,0
Uzbekistan,8,14,18,19,6,1,1,0,0,0,0
Turkmenistan,11,11,12,12,3,0,0,0,0,0,0
