"Region","Country","AZE_ID","MapID","Type","SiteNameFi","Latitude","Longitude","NewSpeciesName","Scientific","Common_nam","Class","Order_","Family","IUCNCode","BirdLifeCode","2008_10__R","PercentProtectedWDPA","ProtectionWDPA","Protected","Protecte_1","AZE2005_si","2005_2009","AZE_site__","AZE2005_Tr","SitRedID","WDPA Site Code","IUCN Red List Link","BirdLife DZ Species Link","BirdLife DZ Site Link","Protected Planet Link","Field29"
"AFRICA","Angola",183,"AGO1","Single Site","Gabela",-11.169207,14.297779,,"Sheppardia gabela","Gabela Akalat","AVES","PASSERIFORMES","MUSCICAPIDAE",106006585,6585,"EN",0,,"Unprotected","Unprotected",,,,-1,6010,,"http://www.iucnredlist.org/apps/redlist/details/106006585/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=6585","http://www.birdlife.org/datazone/sitefactsheet.php?id=6010",,
"AFRICA","Angola",372,"AGO2","Single Site","Mount Moco",-12.453205,15.1861,,"Francolinus swierstrai","Swierstra's Francolin","AVES","GALLIFORMES","PHASIANIDAE",100600186,186,"EN",0,,,,,,,0,6018,,"http://www.iucnredlist.org/apps/redlist/details/100600186/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=186","http://www.birdlife.org/datazone/sitefactsheet.php?id=6018",,
"AFRICA","Cameroon",48,"CMR1","Single Site","Bakossi Mountains",4.983431,9.602269,,"Hyperolius dintelmanni",,"AMPHIBIA","ANURA","HYPEROLIIDAE",61797,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/61797/0",,,,
"AFRICA","Cameroon",48,"CMR1","Single Site","Bakossi Mountains",4.983431,9.602269,,"Leptodactylodon wildi",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54440,,"EN",0,,"Unprotected","Unprotected","Bakossi Mountains",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54440/0",,,,
"AFRICA","Cameroon",53,"CMR2","Single Site","Bamboutos Mountains",5.645833,10.077816,,"Leptodactylodon axillaris",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54427,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/54427/0",,,,
"AFRICA","Cameroon",345,"CMR3","Single Site","Mont Manengouba",5.026611,9.839263,,"Cardioglossa trifasciata",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54410,,"CR",0,,"Unprotected","Unprotected","Mont Manengouba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54410/0",,,,
"AFRICA","Cameroon",345,"CMR3","Single Site","Mont Manengouba",5.026611,9.839263,,"Leptodactylodon erythrogaster",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54432,,"CR",0,,"Unprotected","Unprotected","Mont Manengouba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54432/0",,,,
"AFRICA","Cameroon",346,"CMR4","Single Site","Mont Nganha",7.380687,14.082624,,"Astylosternus nganhanus",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54420,,"CR",0,,"Unprotected","Unprotected","Mont Nganha",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54420/0",,,,
"AFRICA","Cameroon",358,"CMR5","Single Site","Mount Cameroon and Mokoko-Onge",4.261219,9.123308,,"Francolinus camerunensis","Mount Cameroon Francolin","AVES","GALLIFORMES","PHASIANIDAE",100600185,185,"EN",30,,"Unprotected","Unprotected",,,,-1,6130,,"http://www.iucnredlist.org/apps/redlist/details/100600185/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=185","http://www.birdlife.org/datazone/sitefactsheet.php?id=6130",,
"AFRICA","Cameroon",358,"CMR5","Single Site","Mount Cameroon and Mokoko-Onge",4.261219,9.123308,,"Otomys burtoni","BurtonÆs Vlei Rat","MAMMALIA","RODENTIA","MURIDAE",45071,,"EN",30,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/45071/0",,,,
"AFRICA","Cameroon",358,"CMR5","Single Site","Mount Cameroon and Mokoko-Onge",4.261219,9.123308,,"Sylvisorex morio","Mt. Cameroon Forest Shrew","MAMMALIA","EULIPOTYPHLA","SORICIDAE",21221,,"EN",30,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/21221/0",,,,
"AFRICA","Cameroon",369,"CMR6","Single Site","Mount Lefo",5.820552,10.215807,,"Lophuromys eisentrauti","Eisentraut's Brush-furred Rat","MAMMALIA","RODENTIA","MURIDAE",136619,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/136619/0",,,,
"AFRICA","Cameroon",376,"CMR7","Single Site","Mount Oku",6.229385,10.403909,,"Wolterstorffina chirioi",,"AMPHIBIA","ANURA","BUFONIDAE",54897,,"CR",38,,"Unprotected","Unprotected","Mount Oku",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54897/0",,,,
"AFRICA","Cameroon",376,"CMR7","Single Site","Mount Oku",6.229385,10.403909,,"Xenopus longipes","Lake Oku Clawed Frog","AMPHIBIA","ANURA","PIPIDAE",58176,,"CR",38,,"Unprotected","Unprotected","Mount Oku",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/58176/0",,,,
"AFRICA","Cameroon",376,"CMR7","Single Site","Mount Oku",6.229385,10.403909,,"Hylomyscus grandis","Mt Oku Hylomyscus","MAMMALIA","RODENTIA","MURIDAE",45054,,"CR",38,,"Unprotected","Unprotected","Mount Oku",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/45054/0",,,,
"AFRICA","Cameroon",376,"CMR7","Single Site","Mount Oku",6.229385,10.403909,,"Lamottemys okuensis","Mount Oku Rat","MAMMALIA","RODENTIA","MURIDAE",11202,,"EN",38,,"Unprotected","Unprotected","Mount Oku",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/11202/0",,,,
"AFRICA","Cameroon",376,"CMR7","Single Site","Mount Oku",6.229385,10.403909,,"Lophuromys dieterleni","Mount Oku Brush-furred Rat","MAMMALIA","RODENTIA","MURIDAE",45056,,"EN",38,,"Unprotected","Unprotected","Mount Oku",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/45056/0",,,,
"AMERICAS","United States of America",16,"USA1","Single Site","Alakai Plateau",22.108333,-159.558333,,"Loxops caeruleirostris","Akekee","AVES","PASSERIFORMES","FRINGILLIDAE",106008918,8918,"CR",100,,"Protected","Alaka'i Wilderness Preserve","Alakai'i Plateau, Kaua'i",,,-1,25202,"Alakai_State_Natural_Reserve","http://www.iucnredlist.org/apps/redlist/details/106008918/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=8918","http://www.birdlife.org/datazone/sitefactsheet.php?id=25202","http://www.protectedplanet.net/sites/Alakai_State_Natural_Reserve",
"AFRICA","Madagascar",26,"MDG1","Single Site","Ambohitantely Special Reserve and surrounding area",-18.143332,47.27613,,"Stumpffia helenae",,"AMPHIBIA","ANURA","MICROHYLIDAE",58010,,"CR",37,,"Protected","Ambohitantely Special Reserve","Ambohitantely",,,-1,,"Ambohitantely_Special_Reserve","http://www.iucnredlist.org/apps/redlist/details/58010/0",,,"http://www.protectedplanet.net/sites/Ambohitantely_Special_Reserve",
"AFRICA","Cameroon",378,"CMR9","Single Site","Tchabal-Mbabo",7.283662,12.164677,,"Cardioglossa alsco",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",61745,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/61745/0",,,,
