"cwr_id","orig_record","sp","spp","var","auth"
1,"Aegilops bicornis (Forssk.) Jaub. & Spach","Aegilops bicornis",,,"(Forssk.) Jaub. & Spach"
2,"Aegilops bicornis (Forssk.) Jaub. & Spach var. bicornis ","Aegilops bicornis",,"bicornis ","(Forssk.) Jaub. & Spach "
3,"Aegilops bicornis var. anathera Eig","Aegilops bicornis",,"anathera ","Eig"
4,"Aegilops biuncialis Vis.","Aegilops biuncialis",,,"Vis."
5,"Aegilops columnaris Zhuk.","Aegilops columnaris",,,"Zhuk."
6,"Aegilops comosa Sm.","Aegilops comosa",,,"Sm."
7,"Aegilops comosa Sm. var. comosa ","Aegilops comosa",,"comosa ","Sm. "
8,"Aegilops comosa var. subventricosa Boiss.","Aegilops comosa",,"subventricosa ","Boiss."
9,"Aegilops crassa Boiss.","Aegilops crassa",,,"Boiss."
10,"Aegilops cylindrica Host","Aegilops cylindrica",,,"Host"
11,"Aegilops geniculata Roth","Aegilops geniculata",,,"Roth"
12,"Aegilops juvenalis (Thell.) Eig","Aegilops juvenalis",,,"(Thell.) Eig"
13,"Aegilops kotschyi Boiss.","Aegilops kotschyi",,,"Boiss."
14,"Aegilops longissima Schweinf. & Muschl.","Aegilops longissima",,,"Schweinf. & Muschl."
15,"Aegilops markgrafii (Greuter) K. Hammer","Aegilops markgrafii",,,"(Greuter) K. Hammer"
16,"Aegilops neglecta Req. ex Bertol.","Aegilops neglecta",,,"Req. ex Bertol."
17,"Aegilops peregrina (Hack.) Maire & Weiller","Aegilops peregrina",,,"(Hack.) Maire & Weiller"
18,"Aegilops peregrina (Hack.) Maire & Weiller var. peregrina ","Aegilops peregrina",,"peregrina ","(Hack.) Maire & Weiller "
19,"Aegilops peregrina var. brachyathera (Boiss.) Maire & Weiller","Aegilops peregrina",,"brachyathera ","(Boiss.) Maire & Weiller"
20,"Aegilops searsii Feldman & Kislev ex K. Hammer","Aegilops searsii",,,"Feldman & Kislev ex K. Hammer"
21,"Aegilops sharonensis Eig","Aegilops sharonensis",,,"Eig"
22,"Aegilops speltoides Tausch","Aegilops speltoides",,,"Tausch"
23,"Aegilops speltoides Tausch var. speltoides ","Aegilops speltoides",,"speltoides ","Tausch "
24,"Aegilops speltoides var. ligustica (Savign.) Fiori","Aegilops speltoides",,"ligustica ","(Savign.) Fiori"
25,"Aegilops tauschii Coss.","Aegilops tauschii",,,"Coss."
26,"Aegilops triuncialis L.","Aegilops triuncialis",,,"L."
27,"Aegilops triuncialis L. var. triuncialis ","Aegilops triuncialis",,"triuncialis ","L. "
28,"Aegilops triuncialis var. persica (Boiss.) Eig","Aegilops triuncialis",,"persica ","(Boiss.) Eig"
29,"Aegilops umbellulata Zhuk.","Aegilops umbellulata",,,"Zhuk."
30,"Aegilops uniaristata Vis.","Aegilops uniaristata",,,"Vis."
31,"Aegilops vavilovii (Zhuk.) Chennav.","Aegilops vavilovii",,,"(Zhuk.) Chennav."
32,"Aegilops ventricosa Tausch","Aegilops ventricosa",,,"Tausch"
33,"Agropyron cristatum (L.) Beauv.","Agropyron cristatum",,,"(L.) Beauv."
34,"Agropyron desertorum (Fischer ex Link) Schultes","Agropyron desertorum",,,"(Fischer ex Link) Schultes"
35,"Allium altaicum Pall.","Allium altaicum",,,"Pall."
36,"Allium altyncolicum N. Friesen","Allium altyncolicum",,,"N. Friesen"
37,"Allium ampeloprasum L.","Allium ampeloprasum",,,"L."
38,"Allium asarense R. M. Fritsch & Matin","Allium asarense",,,"R. M. Fritsch & Matin"
39,"Allium atrosanguineum  Schrenk","Allium atrosanguineum",,," Schrenk"
40,"Allium atroviolaceum Boiss.","Allium atroviolaceum",,,"Boiss."
41,"Allium bourgeaui Rech. f.","Allium bourgeaui",,,"Rech. f."
42,"Allium bourgeaui Rech. f. subsp. bourgeaui ","Allium bourgeaui","bourgeaui",,"Rech. f. subsp. bourgeaui "
43,"Allium bourgeaui subsp. creticum Bothmer","Allium bourgeaui","creticum",,"Bothmer"
