country,area1kha1990,area1kha2000,area1kha2005,area1kha2010,change1990-2000khayr,pctchange1990-2000,change2000-2005khayr,pctchange2000-2005,change2005-2010khayr,pctchange2005-2010
Brazil,574839,545943,530494,519522,-2890,-0.51,-3090,-0.57,-2194,-0.42
Australia,154500,154920,153920,149300,42,0.03,-200,-0.13,-924,-0.61
Indonesia,118545,99409,97857,94432,-1914,-1.75,-310,-0.31,-685,-0.71
Nigeria,17234,13137,11089,9041,-410,-2.68,-410,-3.33,-410,-4
United Republic of Tanzania,41495,37462,35445,33428,-403,-1.02,-403,-1.1,-403,-1.16
Zimbabwe,22164,18894,17259,15624,-327,-1.58,-327,-1.79,-327,-1.97
Democratic Republic of the Congo,160363,157249,155692,154135,-311,-0.2,-311,-0.2,-311,-0.2
Myanmar,39218,34868,33321,31773,-435,-1.17,-309,-0.9,-310,-0.95
Bolivia (Plurinational State of),62795,60091,58734,57196,-270,-0.44,-271,-0.46,-308,-0.53
Venezuela (Bolivarian Republic of),52026,49151,47713,46275,-288,-0.57,-288,-0.59,-288,-0.61
Central America,25717,21980,20745,19499,-374,-1.56,-247,-1.15,-249,-1.23
Argentina,34793,31861,30599,29400,-293,-0.88,-252,-0.81,-240,-0.8
Cameroon,24316,22116,21016,19916,-220,-0.94,-220,-1.02,-220,-1.07
Mozambique,43378,41188,40079,39022,-219,-0.52,-222,-0.54,-211,-0.53
Ecuador,13817,11841,10853,9865,-198,-1.53,-198,-1.73,-198,-1.89
Paraguay,21157,19368,18475,17582,-179,-0.88,-179,-0.94,-179,-0.99
Zambia,52800,51134,50301,49468,-167,-0.32,-167,-0.33,-167,-0.33
Mexico,70291,66751,65578,64802,-354,-0.52,-235,-0.35,-155,-0.24
Peru,70156,69213,68742,67992,-94,-0.14,-94,-0.14,-150,-0.22
Papua New Guinea,31523,30133,29437,28726,-139,-0.45,-139,-0.47,-142,-0.49
Ethiopia,15114,13705,13000,12296,-141,-0.97,-141,-1.05,-141,-1.11
Democratic People's Republic of Korea,8201,6933,6299,5666,-127,-1.67,-127,-1.9,-127,-2.1
Cambodia,12944,11546,10731,10094,-140,-1.14,-163,-1.45,-127,-1.22
Angola,60976,59728,59104,58480,-125,-0.21,-125,-0.21,-125,-0.21
Honduras,8136,6392,5792,5192,-174,-2.38,-120,-1.95,-120,-2.16
Botswana,13718,12535,11943,11351,-118,-0.9,-118,-0.96,-118,-1.01
Ghana,7448,6094,5517,4940,-135,-1.99,-115,-1.97,-115,-2.19
Colombia,62519,61509,61004,60499,-101,-0.16,-101,-0.16,-101,-0.17
Uganda,4751,3869,3429,2988,-88,-2.03,-88,-2.39,-88,-2.72
Malaysia,22376,21591,20890,20456,-79,-0.36,-140,-0.66,-87,-0.42
Mongolia ,12536,11717,11308,10898,-82,-0.67,-82,-0.71,-82,-0.74
Chad,13110,12317,11921,11525,-79,-0.62,-79,-0.65,-79,-0.67
Mali,14072,13281,12885,12490,-79,-0.58,-79,-0.6,-79,-0.62
Lao People's Democratic Republic,17314,16532,16142,15751,-78,-0.46,-78,-0.48,-78,-0.49
Somalia,8282,7515,7131,6747,-77,-0.97,-77,-1.04,-77,-1.1
Namibia,8762,8032,7661,7290,-73,-0.87,-74,-0.94,-74,-0.99
Nicaragua,4514,3814,3464,3114,-70,-1.67,-70,-1.91,-70,-2.11
Burkina Faso,6847,6248,5949,5649,-60,-0.91,-60,-0.98,-60,-1.03
