"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"17835","","Abelmoschus","","esculentus","","","","27","Yes","","","","","Africa, India, Asia, Latin America and the Caribbean","","","leaf, fruit, root","It has been used as a plasma replacement or blood volume expander. Leaves are sometimes used as a basis for poultices, as an emollient, sudorific or antiscorbutic and to treat dysuria, venereal diseases, pneumonia, bronchitis, pulmonary tuberculosis, boils, occular infections","34, 12, 39"
"36375","","Abelmoschus","","moschatus","","","","13","Yes","","","","","India","","","seed, fruit","Diuretic, aphrodisiac, emollient, antipyretic","12"
"36402","","Abies","","pindrow","","","","38","No","Lower Risk: Least Concern","","","","Pakistan","","","","","26"
"20661","","Abroma","","augusta","","","","10","No","","","","","India","","","root, bark","","10, 12"
"6883","","Abrus","","precatorius","","","","44","No","","","","","South America, India, Africa","","","seed","sore throat, cough","31, 10, 36, 12"
"144760","","Acacia","","arabica","","","","5","No","","","","","India","","","leaf, bark, pod, gum","diarrhoea, teeth disorders, eczema, tonsillitis, conjunctivitis, epiphora, leucorrhoea, used in toothpastes and gargles","12"
"70420","","Acacia","","caffra","","","","15","No","","","","","South Africa, Swaziland, southern Botswana, southern Mozambique, India","","","leaves, bark","abdominal pains, colds, fever, blood purifier","34"
"61903","","Acacia","","catechu","","","","21","No","","","","","India","","","bark, ext, wood","diarrhoea, sore throat, skin diseases","12"
"70419","","Acacia","","leucophloea","","","","3","No","","","","","India","","","bark","astringent","12"
"63","","Acacia","","mearnsii","","","","19","No","","","","","South Eastern Australia, Kenya, South Africa, Zimbabwe, Brazil, India","","","bark","astringent, diarrhoea","34"
"126508","","Acacia","","mellifera","","","","5","No","","","","","Africa","x","","liquid of boiled bark","stomach problems, sterility, pneumonia, malaria, and syphilis","29, 35, 23"
"144777","","Acacia","","nigrescens","","","","9","No","","","","","Tanzania, Botswana, Namibia, South Africa","","","roots","convulsions, aphrodisiac","34"
"13780","","Acacia","","nilotica","","","","30","No","","","","","Tropical Africa, Western Asia, India, Jamiaca, Australia, South Africa","x","","bark, root, bruised leaves","cough, tuberculosis, astringent, diarrhoea, dysentery, leprosy, ulcers","25, 2, 34"
"70424","","Acacia","","pennata","","","","6","No","","","","","India","","","leaf","venereal diseases, pneumonia, bronchitis, pulmonary tuberculosis","12"
"84","","Acacia","","robusta","","","","7","No","","","","","Ethiopia, Somalia, Namibia, South Africa","","","root powder, roots, stem, leaves","root powder is applied to swellings, a root decoction is used to treat dysmenorrhoea, female sterility and schistosomiasis, a stem bark decoction to treat gonorrhea, abdominal pains and skin ailments, and leaves to treat snakebites.","34"
"36490","","Acacia","","senegal","","","","13","No","","","","","Tropical Africa, Oman, Pakistan, India","","","gum arabic found in bark","gum arabic used as a suspending or emulsifying agent and in tablet manufacture","7, 34, 12, 36"
"87","","Acacia","","seyal","","","","18","No","","","","","Africa","x","","gum, bark decoction","aphrodisiac, dysentry, leprosy, emollient, astringent, rheumatism","29, 3"
"94","","Acacia","","tortilis","","","","17","No","","","","","South Africa, Kenya","x","","","","25"
"101","","Acacia","","xanthophloea","","","","19","No","","","","","Somalia, Swaziland, northern South Africa","","","bark","bark decoction is used in traditional medicine to treat indigestion and sickle cell anaemia. powdered bark used as an emetic to treat malaria, and also against eye complaints.","34"
"270972","","Acalypha","","fruticosa","","","","1","No","","","","","Africa","x","","decoction of leaves","dysentry","29, 41"
"70428","","Acalypha","","indica","","","","6","No","","","","","India","","","plant","intestinal worms, constipation, skin diseases, rheumatism, respiratory diseases, earache","12"
"36522","","Acampe","","praemorsa","","","","7","No","","","II","2005-01-12","India, Sri Lanka","x","Appendix II","root","rheumatism","33, 13"
"36577","","Acanthopanax","","gracilistylus","","","","7","No","","","","","China","","","","","22"
"5055","","Acanthophoenix","","rubra","","","","10","No","Critically Endangered","Vulnerable","","","R","","","roots","diurectic","34"
"36934","","Acanthosicyos","","horridus","","","","2","No","","","","","South west coast of Africa","","","roots, seeds","nausea, stomach-ache, veneral disease, kidney problems, chest pains, to heal wounds, skin moisturiser","34"
"192919","","Acanthosicyos","","naudinianus","","","","5","No","","","","","Zambia, Angola, Namibia, Botswana, Zimbabwe, Mozambique and South Africa.","","","roots","arrow poison","34"
"16209","","Acanthus","","ilicifolius","","","","11","No","","","","","India, Sri Lanka, Bangladesh, Pakistan","","","roots, leaves, shoots","rheumatism, asthma, paralysis, snakebite","10"
"36652","","Aceras","","anthropophorum","","","","9","No","","","II","2005-01-12","England, Eurasia, North Africa","","Appendix II","","","13"
"77298","","Achillea","","clypeolata","","","","25","No","","","","","Europe","","","","","21"
"181701","","Achillea","","collina","","","","11","No","","","","","Europe","","","","","21"
"113","","Achillea","","millefolium","","","","151","No","","","","","Europe, US, India, North Pakistan","","","plant, leaf","fevers, stomach disorders, piles, women's diseases, wounds, high blood pressure","21, 9, 12, 17, 26"
"115","","Achyranthes","","aspera","","","","22","No","","","","","India","","","plant","asthma, coughs, cholera, renal dropsy, skin diseases, eye diseases","12, 11"
"142398","","Achyranthes","","bidentata","","","","9","No","","","","","China","","","","","42, 22"
"126563","","Acmella","","oleracea","","","","12","No","","","","","Africa, Indian Ocean Islands","","","flower heads, roots and leaves","toothache, throat and gum infections, dysentyr, rheumatism, to enhance the immune system, prophylactice and curative against malaria","34"
"142416","","Aconitum","","carmichaeli","","","","4","No","","","","","China","","","","","22"
"36785","","Aconitum","","chasmanthum","","","","4","No","","","","","North Pakistan","","","","","26"
"36752","","Aconitum","","ferox","","","","17","No","","Indeterminate","","","India","x","","","","24"
