Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
42641,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abditomys,latidens,"(Sanborn, 1952)",,,,,"",Luzon Broad-toothed Rat,,,DD,,3.1,2008,unknown,N
106001862,ANIMALIA,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Abeillia,abeillei,"(Lesson & DeLattre, 1839)",,,,,"",Emerald-chinned Hummingbird,,,LC,,3.1,2012,decreasing,N
17879,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abeomelomys,sevia,"(Tate & Archbold, 1935)",,,,,"","Highland Brush Mouse, Menzies' Mouse",,,LC,,3.1,2008,unknown,N
157127,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHONDRINIDAE,Abida,secale,"(Draparnaud, 1801)",,,,,"",,,,LC,,3.1,2011,stable,N
38320,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,cephalonica,Loud.,,,,,"","Grecian Fir, Greek Fir",,,LC,,3.1,2011,stable,N
42274,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,chensiensis,Tiegh.,,,,,"",Shensi Fir,,,LC,,3.1,2011,unknown,N
42277,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,delavayi,Franch.,,,,,"",Delavay's Fir,,,LC,,3.1,2011,unknown,N
42554,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,hidalgensis,"Debreczy, Rácz & Guízar",,,,,"",,,,DD,,3.1,2007,unknown,N
31244,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,koreana,E.H.Wilson,,,,,"",Korean Fir,,,EN,"B2ab(ii,iii,v)",3.1,2011,decreasing,N
42293,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,nordmanniana,(Steven) Spach,,,,,"","Caucasian Fir, Kazazdagi Fir, Nordmann Fir",,,LC,,3.1,2011,stable,N
30320,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,numidica,de Lannoy ex Carrière,,,,,"","Algerian Fir, Algerian Silver Fir","Sapin D'Algerie, Sapin De Babors, Sapin De Numidie",,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,2011,decreasing,N
42295,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,pinsapo,Boiss.,,,,,"",,,,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,2011,decreasing,N
42299,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,sibirica,Ledeb.,,,,,"",Siberian Fir,,,LC,,3.1,2011,stable,N
42300,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,spectabilis,(D.Don) Spach,,,,,"","Himalayan Fir, Webb Fir",,,NT,,3.1,2011,decreasing,N
34130,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,squamata,Mast.,,,,,"",Flaky Fir,,,VU,A2d,3.1,2011,stable,N
42301,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,veitchii,Lindl.,,,,,"",Veitchs Fir,,,LC,,3.1,2011,stable,N
32319,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,yuanbaoshanensis,Y.J.Lu & L.K.Fu,,,,,"",Yuanbaoshan Fir,,,CR,B1ab(v)+2ab(v),3.1,2011,decreasing,N
32320,PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,PINACEAE,Abies,ziyuanensis,L.K.Fu & S.L.Mo,,,,,"",Ziyuan Fir,,,EN,B1ab(iii); C2a(i),3.1,2011,decreasing,N
160511,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,RIODINIDAE,Abisara,delicata,"Lathy, 1901",,,,,"",Delicate Judy,,,LC,,3.1,2011,unknown,N
160665,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,RIODINIDAE,Abisara,geza,"Fruhstorfer, 1904",,,,,"",,,,LC,,3.1,2011,stable,N
159883,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,RIODINIDAE,Abisara,rutherfordii,"Hewitson, 1874",,,,,"",Scalloped Judy,,,LC,,3.1,2011,unknown,N
164607,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,bivittatus,"(Menetries, 1832)",,,,,"",Two-streaked Snake-eyed Skink,,,LC,,3.1,2009,decreasing,N
61450,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,budaki,"Göçmen, Kumlutas & Tosunoglu, 1996",,,,,"",,,,LC,,3.1,2009,stable,N
164622,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,chernovi,"Darevsky, 1953",,,,,"","Chernov's Skink, Chernov's Snake-Eyed Skink",,,LC,,3.1,2009,stable,N
29691,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,kitaibelii,"Bibron & Bory, 1833",,,,,"","European Copper Skink, Snake-eyed Skink",Ablephare De Kitaibel,,LC,,3.1,2009,stable,N
61451,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,rueppellii,"(Gray, 1839)",,,,,"",,,,LC,,3.1,2006,unknown,N
16,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,"Cunha & Cruz, 1979",,,,,"",Rushi's Rat,,,LC,,3.1,2008,unknown,N
