Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
183435,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Aboma,etheostoma,"(Jordan & Starks, 1895)",,,,,"",Scaly boy,,"Gobio, Gobio escamoso",DD,,3.1,2010,unknown,N
183483,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,concolor,"(Gill, 1862)",,,,,"","Dusky seargent, Night sergeant",Chauffet de nuit,"Petaca rebozada, Tono",LC,,3.1,2010,unknown,N
183460,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,declivifrons,"(Gill, 1862)",,,,,"",Mexican night sergeant,,Petaca mexicana,LC,,3.1,2010,unknown,N
183397,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,troschelii,"(Gill, 1862)",,,,,"",Panama sergeant major,Chauffet tono,"Castañeta manchada, Petaca banderita, Petaca chopa, Pintano, Sargento mayor",LC,,3.1,2010,unknown,N
183583,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,atrata,"Hastings & Robertson, 1999",,,,,"",Cocos Barnacle Blenny,,,VU,D2,3.1,2010,unknown,N
183400,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,balanorum,"Brock, 1940",,,,,"","Clubhead barnacle blenny, Clubhead blenny",,"Blenia, Tubícola espinudo",LC,,3.1,2010,unknown,N
183873,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,castroi,"Stephens & Hobson, 1966",,,,,"",Galapagos barnacle blenny,,Trambollito percebes de galapagos,VU,D2,3.1,2010,unknown,N
183505,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,crockeri,"Beebe & Tee-Van, 1938",,,,,"",Browncheek blenny,,"Blenia, Cachete negro, Tubícola cachetón",LC,,3.1,2010,unknown,N
183629,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,exilispinus,"Stephens, 1963",,,,,"",Bluntspine blenny,,,LC,,3.1,2010,unknown,N
183841,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,hancocki,"Myers & Reid, 1936",,,,,"",Hancock's blenny,,,LC,,3.1,2010,unknown,N
183219,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,macrospilus,"Brock, 1940",,,,,"","Barnacle blenny, Mexican barnacle blenny",,"Blenia, Tubícola mexicano",LC,,3.1,2010,unknown,N
183525,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,mangognatha,"Hastings & Robertson, 1999",,,,,"",Revillagigedo Barnacle Blenny,,,VU,D2,3.1,2010,unknown,N
183968,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,stephensi,"Rosenblatt & McCosker, 1988",,,,,"",Malpelo barnacle blenny,,,VU,B1ab(iii); D2,3.1,2010,unknown,N
