id,group,order,family,genus,binomial,english,domesticated species,notes,Source
1,Antelopes,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,Impala,,,FAO World Watch List 
2,Antelopes,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,Springbok,,,FAO World Watch List 
3,Antelopes,Artiodactyla,Bovidae,Antilope,Antilope cervicapra,Blackbuck,,,FAO World Watch List 
4,Antelopes,Artiodactyla,Bovidae,Boselephas,Boselephas tragocamelus,Nilgai,,,FAO World Watch List 
5,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus adersi,Aders' Duiker,,,FAO World Watch List all Cephalophus spp. from RL
6,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus callipygus,Peters' Duiker,,,FAO World Watch List all Cephalophus spp. from RL
7,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus dorsalis,Bay Duiker,,,FAO World Watch List all Cephalophus spp. from RL
8,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus harveyi,Harvey's Duiker,,,FAO World Watch List all Cephalophus spp. from RL
9,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus jentinki,Jentink's Duiker,,,FAO World Watch List all Cephalophus spp. from RL
10,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus leucogaster,White-bellied Duiker,,,FAO World Watch List all Cephalophus spp. from RL
11,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus natalensis,Natal Red Duiker,,,FAO World Watch List all Cephalophus spp. from RL
12,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus niger,Black Duiker,,,FAO World Watch List all Cephalophus spp. from RL
13,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus nigrifrons,Black-fronted Duiker,,,FAO World Watch List all Cephalophus spp. from RL
14,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus ogilbyi,Ogilby's Duiker,,,FAO World Watch List all Cephalophus spp. from RL
15,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus rufilatus,Red-flanked Duiker,,,FAO World Watch List all Cephalophus spp. from RL
16,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus silvicultor,Yellow-backed Duiker,,,FAO World Watch List all Cephalophus spp. from RL
17,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus spadix,Abbott's Duiker,,,FAO World Watch List all Cephalophus spp. from RL
18,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus weynsi,Weyns' Duiker,,,FAO World Watch List all Cephalophus spp. from RL
19,Antelopes,Artiodactyla,Bovidae,Cephalophus,Cephalophus zebra,Zebra Duiker,,,FAO World Watch List all Cephalophus spp. from RL
20,Antelopes,Artiodactyla,Bovidae,Cephalophus,Sylvicapra grimmia,Common duiker,,,FAO World Watch List all Sylvicapra spp. from RL
21,Antelopes,Artiodactyla,Bovidae,Oryx,Oryx beisa,Beisa oryx,,includes subsp. O. b. callotus,FAO World Watch List 
22,Antelopes,Artiodactyla,Bovidae,Oryx,Oryx gazella,Gemsbok,,,FAO World Watch List 
23,Antelopes,Artiodactyla,Bovidae,Saiga,Saiga tartarica,Mongolian Saiga,,,FAO World Watch List 
24,Antelopes,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus oryx,Common eland,,syn. Taurotragus oryx,FAO World Watch List 
25,Bears,Carnivora,Ursidae,Ursus,Ursus arctos,Brown bear,,,FAO World Watch List 
26,Bears,Carnivora,Ursidae,Ursus,Ursus thibetanus,Asiatic black bear,,,FAO World Watch List 
27,Birds,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Mallard,,,FAO World Watch List 
28,Birds,Anseriformes,Anatidae,Anser,Anser anser,Greylag goose,,,FAO World Watch List 
