Red List Species ID,Family,Genus,Species,Authority,,Red List status,Overexploitation/harvesting ,Importance Ecosystem services,Importance habitat quality,Red List criteria,Red List criteria version,Year assessed,Population trend,Source
38752,PALMAE,Aiphanes,chiribogensis,Borchs. & Balslev,,VU,1,1,2,B2ab(iii),3.1,2003,decreasing,http://www.iucnredlist.org/ 
43757,PALMAE,Aiphanes,grandis,Borchs. & Balslev,,EN,1,1,1,A4c,3.1,2003,decreasing,http://www.iucnredlist.org/ 
38069,PALMAE,Aiphanes,verrucosa,Borchs. & Balslev,,EN,1,1,1,B1ab(iii),3.1,2003,decreasing,http://www.iucnredlist.org/ 
199818,PALMAE,Areca,riparia,Heatubun,,DD,0,2,1,,3.1,2011,unknown,http://www.iucnredlist.org/ 
46592,PALMAE,Arenga,micrantha,C.F.Wei,,EN,1,1,1,A2c,3.1,2004,,http://www.iucnredlist.org/ 
,,Asterogyne,yaracuyense,,,CR,0,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43975,PALMAE,Astrocaryum,urostachys,Burret,,LC,0,1,1,,3.1,2003,stable,http://www.iucnredlist.org/ 
,,Attalea,crassispatha,,,CR,1,2,0,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43976,PALMAE,Bactris,setiflora,Burret,,EN,0,1,1,B1ab(iii),3.1,2003,decreasing,http://www.iucnredlist.org/ 
,,Balaka,macrocarpa,,,CR,0,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
46593,PALMAE,Calamus,compsostachys,Burret,,CR,1,1,1,B1ab(iii),3.1,2004,,http://www.iucnredlist.org/ 
46594,PALMAE,Calamus,egregius,Burret,,VU,1,1,1,A2c,3.1,2004,,http://www.iucnredlist.org/ 
191587,PALMAE,Calamus,godefroyi,Becc.,,NT,1,1,1,,3.1,2011,decreasing,http://www.iucnredlist.org/ 
46595,PALMAE,Calamus,obovoideus,S.J.Pei & S.Yang Chen,,CR,1,1,1,B1ab(ii),3.1,2004,,http://www.iucnredlist.org/ 
199686,PALMAE,Calamus,salicifolius,Becc.,,LC,0,1,1,,3.1,2011,stable,http://www.iucnredlist.org/ 
199687,PALMAE,Calamus,siamensis,Becc.,,LC,0,1,1,,3.1,2011,unknown,http://www.iucnredlist.org/ 
