Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
9,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Aaptosyax,grypus,"Rainboth, 1991",,,,,"",Mekong Giant Salmon Carp,,,CR,A2acd,3.1,2011,decreasing,N
167005,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Abbottina,binhi,Nguyen 2001,,,,,"",,,,DD,,3.1,2012,unknown,N
166431,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,BALITORIDAE,Aborichthys,elongatus,"Hora, 1921",,,,,"",,,,LC,,3.1,2010,unknown,N
166624,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,BALITORIDAE,Aborichthys,garoensis,"Hora, 1925",,,,,"",,,,VU,B1ab(iii),3.1,2010,unknown,N
166592,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,BALITORIDAE,Aborichthys,kempi,"Chaudhuri, 1913",,,,,"",,,,NT,,3.1,2010,unknown,N
166507,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,BALITORIDAE,Aborichthys,tikaderi,"Barman, 1985",,,,,"",,,,VU,D2,3.1,2010,unknown,N
135696,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Abramis,brama,"(Linnaeus, 1758)",,,,,"",Bream,,,LC,,3.1,2008,unknown,N
169606,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Acanthalburnus,urmianus,"(Günther, 1899)",,,,,"",,,,DD,,3.1,2009,unknown,N
60633,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Acanthobrama,centisquama,"Heckel, 1843",,,,,"",,,,EN,"B2ab(ii,iii)",3.1,2006,decreasing,N
73,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Acanthobrama,hulensis,"(Goren, Fishelson & Trewavas, 1973)",,,,,"",,,,EX,,3.1,2006,,N
