Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
899,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Alopex,lagopus,"(Linnaeus, 1758)",,,,,"","Arctic Fox, Polar Fox","Isatis, Renard Polaire, Reynard Polaire",Zorro Ártico,LC,,3.1,2008,stable,N
1793,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,capensis,"(Schinz, 1821)",,,,,"","African Clawless Otter, Cape Clawless Otter",Loutre À Joues Blanches,"Nutria Africana, Nutria De Cuello Blanco",LC,,3.1,2008,stable,N
44166,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,cinerea,"(Illiger, 1815)",,,,,"","Asian Small-clawed Otter, Oriental Small-clawed Otter, Small-clawed Otter",Loutre Cendrée,"Nutria Cenicienta, Nutria Inerme Asiatica",VU,A2acd,3.1,2008,decreasing,N
2055,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,australis,"(Zimmermann, 1783)",,,,,"","South American Fur Seal, Southern Fur Seal",Otarie À Fourrure Australe,Oso Marino Austral,LC,,3.1,2008,increasing,N
41664,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,forsteri,"(Lesson, 1828)",,,,,"","Antipodean Fur Seal, Australasian Fur Seal, Black Fur Seal, New Zealand Fur Seal, South Australian Fur Seal",,,LC,,3.1,2008,increasing,N
2057,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,galapagoensis,"Heller, 1904",,,,,"","Galápagos Fur Seal, Galapagos Islands Fur Seal",Arctocéphale Des Galapagos,Oso Marino De Las Galápagos,EN,A2a,3.1,2008,decreasing,N
2058,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,gazella,"(Peters, 1875)",,,,,"","Antarctic Fur Seal, Kerguelen Fur Seal",Arctocéphale De Kerguelen,,LC,,3.1,2008,increasing,N
2059,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,philippii,"(Peters, 1872)",,,,,"",Juan Fernández Fur Seal,Arctocéphale De Juan Fernandez,Oso Marino De Chile,NT,,3.1,2008,increasing,N
2060,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,pusillus,"(Schreber, 1775)",,,,,"","Afro-Australian Fur Seal, Brown Fur Seal, Cape Fur Seal, South African Fur Seal",Arctocéphale D'Afrique Du Sud,,LC,,3.1,2008,increasing,N
2061,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,townsendi,"Merriam, 1897",,,,,"","Guadalupe Fur Seal, Lower Californian Fur Seal","Arctocéphale De Guadalupe, Otarie À Fourrure D'Amérique",Oso Marino De Guadalupe,NT,,3.1,2008,increasing,N
