Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
178832,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Acanthus,ebracteatus,Vahl,,,,,"","Acanthus, Sea Holly",,,LC,,3.1,2010,decreasing,N
178837,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Acanthus,volubilis,Wall.,,,,,"",,,,LC,,3.1,2010,decreasing,N
223,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,fulvescens,"Rafinesque, 1817",,,,,"",Lake Sturgeon,Esturgeon Jaune,Esturión Lacustre,LC,,3.1,2004,increasing,N
245,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,oxyrinchus,"Mitchill, 1815",,,,,"",Gulf Sturgeon,,,NT,,3.1,2006,increasing,N
106007616,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Acrocephalus,caffer,"(Sparrman, 1786)",,,,,"","Tahiti Reed-warbler, Tahiti Reed Warbler, Tahiti Reed-Warbler",,,EN,"B1ab(ii,iii,v);C2a(i)",3.1,2008,decreasing,N
160030018,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Acrocephalus,tangorum,"La Touche, 1912",,,,,"","Manchurian Reed-warbler, Manchurian Reed Warbler",,,VU,C2a(ii),3.1,2008,decreasing,N
169516,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,KYSIDAE,Acrochordonichthys,chamaeleon,"(Vaillant, 1902)",,,,,Acrochordonichthys chamaleon  |Acrochordonichthys chameleon  |Sosia chamaeleon  |Sosia chamaleon  ,,,,VU,A2ce,3.1,2009,decreasing,N
178802,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PLUMBAGINALES,PLUMBAGINACEAE,Aegialitis,annulata,R.Br.,,,,,"",,,,LC,,3.1,2010,decreasing,N
178839,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PLUMBAGINALES,PLUMBAGINACEAE,Aegialitis,rotundifolia,Roxb.,,,,,"",,,,NT,,3.1,2010,decreasing,N
178797,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,MYRSINACEAE,Aegiceras,corniculatum,(L.) Blanco,,,,,"",,,,LC,,3.1,2010,decreasing,N
178856,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,MYRSINACEAE,Aegiceras,floridum,Roem. & Schult.,,,,,"",,,,NT,,3.1,2010,decreasing,N
34364,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,Aglaia,cucullata,(Roxb.) Pellegr.,,,,,"",Pacific Maple,,,DD,,3.1,2010,decreasing,N
106001941,ANIMALIA,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Amazilia,boucardi,"(Mulsant, 1877)",,,,,"",Mangrove Hummingbird,,Amazilia de Manglar,EN,"B1ab(i,ii,iii,iv,v)",3.1,2008,decreasing,N
100600439,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,luzonica,"Fraser, 1839",,,,,"",Philippine Duck,,,VU,A2bcd+3bcd+4bcd,3.1,2008,decreasing,N
44166,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,cinerea,"(Illiger, 1815)",,,,,Amblonyx cinereus  |Aonyx cinereus  ,"Asian Small-clawed Otter, Oriental Small-clawed Otter, Small-clawed Otter",Loutre Cendrée,"Nutria Cenicienta, Nutria Inerme Asiatica",VU,A2acd,3.1,2008,decreasing,N
154669,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Archamia,buruensis,"(Bleeker, 1856)",,,,,Apogon buruensis  |Archamia buroensis  ,Buru Cardinalfish,,,LC,,3.1,2010,unknown,N
189513,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Assiminea,obtusa,"Wattebled, 1886",,,,,Ovassiminea obtusa  ,,,,LC,,3.1,2011,unknown,N
189428,ANIMALIA,MOLLUSCA,GASTROPODA,EUPULMONATA,ELLOBIIDAE,Auriculodes,gangetica,"Pfeiffer, 1855",,,,,Auricula gangetica  |Auricularia gangetica  |Auricularia gangetica  ,,,,DD,,3.1,2011,unknown,N
178830,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,alba,Blume,,,,,"",,,,LC,,3.1,2010,decreasing,N
178811,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,germinans,(L.) L.,,,,,Avicennia nitida  |Avicennia tomentosa  ,Black Mangrove,,Mangle Negro,LC,,3.1,2010,decreasing,N
178828,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,marina,(Forsk.) Vierh.,,,,,"",Gray Mangrove,,,LC,,3.1,2010,decreasing,N
178820,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,officinalis,L.,,,,,"",,,,LC,,3.1,2010,decreasing,N
178809,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,rumphiana,Hallier f.,,,,,"",,,,VU,A2c,3.1,2010,decreasing,N
178823,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicennia,schaueriana,Stapf & Leechman ex Moldenke,,,,,"",,,"Mangle Blanco, Mangle Negro",LC,,3.1,2010,decreasing,N
